Código;Comunas;Sala cuna o jardín infantil;Prekínder;Kínder;Especial o diferencial;Educación básica;Primaria o preparatoria (sistema antiguo);Científico-humanista;Técnica profesional;Humanidades (sistema antiguo);Técnica comercial, industrial/normalista (sistema antiguo);Técnico superior (1-3 años);Profesional (4 o más años);Magíster;Doctorado;Total;Sí;No;Total;Delitos de mayor connotación social;Infracción a ley de armas;Incivilidades;Abigeato;Abusos sexuales y otros delitos sexuales;Violencia intrafamiliar;Receptación;Robo frustrado;Total Delitos;Total Hombres;Total Mujeres;Total Habitantes
13101;SANTIAGO;   7 518;   3 475;   4 972;667;   44 180;   4 193;   70 595;   40 080;   8 137;   2 262;   43 466;   137 640;   14 328;   2 504;   384 017;   257 864;   122 175;   380 039;   31 922;590;   41 442;0;323;   2 183;475;253;   77 188;   206 678;   291 817;   498 495
13102;CERRILLOS;   2 179;   1 151;   1 586;449;   18 816;   2 357;   17 919;   12 695;   2 308;650;   5 785;   9 185;386;45;   75 511;   42 013;   32 631;   74 644;   3 418;50;   2 043;0;47;615;66;80;   6 319;   39 631;   41 201;   80 832
13103;CERRO NAVIA;   3 380;   1 799;   2 687;823;   37 041;   5 850;   30 988;   23 442;   2 477;796;   6 302;   7 449;165;15;   123 214;   62 121;   59 528;   121 649;   2 239;258;   1 918;0;88;797;69;20;   5 389;   65 438;   67 184;   132 622
13104;CONCHALÍ;   2 894;   1 715;   2 393;719;   27 292;   5 571;   32 717;   17 797;   3 975;   1 119;   9 378;   12 271;405;55;   118 301;   65 181;   51 447;   116 628;   3 689;161;   2 543;0;73;636;75;47;   7 224;   61 877;   65 078;   126 955
13105;EL BOSQUE;   3 990;   2 331;   3 510;   1 080;   41 379;   6 073;   37 267;   27 152;   4 157;   1 203;   9 873;   13 942;461;49;   152 467;   80 517;   70 203;   150 720;   4 655;205;   3 875;0;103;938;76;104;   9 956;   79 372;   83 133;   162 505
13106;ESTACIÓN CENTRAL;   3 308;   1 814;   2 432;564;   29 094;   4 242;   33 813;   20 323;   4 178;   1 323;   12 977;   22 871;   1 346;176;   138 461;   79 975;   57 069;   137 044;   8 277;279;   12 397;1;77;779;159;69;   22 038;   73 458;   73 583;   147 041
13107;HUECHURABA;   3 482;   1 645;   2 352;396;   22 624;   2 817;   19 280;   11 194;   1 759;458;   5 976;   18 318;   2 474;243;   93 018;   51 817;   39 794;   91 611;   3 638;150;   2 007;2;42;639;80;48;   6 606;   48 122;   50 549;   98 671
13108;INDEPENDENCIA;   1 998;   1 222;   1 706;290;   15 415;   2 179;   26 220;   12 732;   2 987;767;   10 255;   16 598;848;149;   93 366;   57 428;   34 649;   92 077;   3 572;156;   4 767;0;82;622;52;87;   9 338;   49 186;   51 095;   100 281
13109;LA CISTERNA;   1 948;   1 140;   1 639;357;   15 243;   2 507;   18 750;   12 635;   3 472;914;   8 417;   16 035;914;98;   84 069;   50 534;   32 435;   82 969;   3 955;70;   2 547;0;67;413;62;82;   7 196;   43 147;   46 972;   90 119
13110;LA FLORIDA;   9 154;   4 684;   6 915;   1 456;   68 272;   10 296;   76 631;   45 511;   11 545;   3 722;   32 757;   71 686;   4 728;614;   347 971;   204 152;   140 142;   344 294;   15 518;289;   8 389;0;173;   2 209;132;211;   26 921;   175 693;   191 223;   366 916
13111;LA GRANJA;   2 841;   1 605;   2 272;698;   29 356;   4 629;   27 220;   20 095;   2 768;   1 026;   6 742;   9 307;265;43;   108 867;   57 867;   49 620;   107 487;   3 295;127;   3 504;0;71;777;49;99;   7 922;   57 025;   59 546;   116 571
13112;LA PINTANA;   5 237;   3 002;   4 272;   1 282;   57 201;   5 814;   37 173;   32 873;   2 431;728;   6 801;   7 287;154;14;   164 269;   79 830;   82 482;   162 312;   4 469;169;   2 837;5;153;   1 385;129;57;   9 204;   87 044;   90 291;   177 335
13113;LA REINA;   2 828;   1 260;   1 676;360;   13 026;   1 344;   13 048;   6 384;   2 954;599;   7 458;   31 553;   5 979;   1 020;   89 489;   57 392;   31 312;   88 704;   4 473;60;   1 975;0;22;330;29;129;   7 018;   43 599;   49 188;   92 787
13114;LAS CONDES;   8 478;   3 437;   4 225;547;   29 977;   2 451;   30 949;   11 990;   10 723;   1 453;   19 942;   127 846;   27 574;   3 668;   283 260;   192 515;   87 447;   279 962;   10 813;80;   5 297;3;56;665;75;148;   17 137;   135 917;   158 921;   294 838
13115;LO BARNECHEA;   3 997;   1 960;   2 329;255;   21 249;   1 074;   17 842;   6 269;   1 409;209;   5 416;   31 926;   6 992;821;   101 748;   59 922;   40 624;   100 546;   2 597;36;   1 785;0;26;361;20;30;   4 855;   50 500;   55 333;   105 833
13116;LO ESPEJO;   2 204;   1 471;   2 078;548;   27 255;   4 457;   23 727;   17 230;   2 147;631;   4 462;   5 543;97;8;   91 858;   46 323;   44 372;   90 695;   2 433;91;   1 616;0;64;596;34;61;   4 895;   49 146;   49 658;   98 804
13117;LO PRADO;   2 156;   1 259;   1 743;528;   22 718;   4 270;   23 226;   15 147;   3 002;834;   6 425;   8 800;297;37;   90 442;   48 649;   40 770;   89 419;   2 413;103;   3 051;0;52;492;46;16;   6 173;   46 799;   49 450;   96 249
13118;MACUL;   3 033;   1 394;   1 964;443;   18 654;   3 537;   22 452;   13 567;   4 364;   1 291;   10 973;   26 675;   2 169;373;   110 889;   67 279;   42 345;   109 624;   3 870;86;   3 604;1;47;759;45;63;   8 475;   55 161;   61 373;   116 534
13119;MAIPÚ;   11 899;   7 257;   10 108;   2 042;   97 472;   11 728;   123 207;   75 172;   13 397;   4 992;   49 656;   84 341;   3 943;393;   495 607;   293 205;   197 701;   490 906;12 322;156;   9 287;9;263;   2 950;149;295;   13 109;   250 792;   270 835;   521 627
13120;ÑUÑOA;   5 930;   2 353;   2 961;511;   19 754;   3 042;   25 163;   12 983;   7 757;   1 817;   18 408;   83 151;   13 086;   2 448;   199 364;   136 258;   60 795;   197 053;   9 057;151;   8 116;2;55;790;95;179;   18 445;   95 409;   112 828;   208 237
